entity,timestamp,Temperature,TemperatureSpectralScore,SaliencyAnomalyScore,TemperatureFFTScore,TemperatureKmeansScore,MatrixProfileAnomalyScore
MyRoom,2017-10-09 20:32:00,23.0,5.937734193002775,0.0,0.0,0.07329518961419902,0.10825317547305482
MyRoom,2017-10-09 20:33:00,23.0,5.851479039239817,0.0,0.0,0.08714815422627122,0.13975424859373686
MyRoom,2017-10-09 20:34:00,23.0,5.765223885476859,0.0,0.0,0.1010011188383434,0.13975424859373686
MyRoom,2017-10-09 20:35:00,23.0,5.6789687317138995,0.0,0.0,0.11485408345041559,0.15309310892394865
MyRoom,2017-10-09 20:36:00,23.0,5.592713577950941,0.33822671201234256,0.33446199043107194,0.12870704806248778,0.16535945694153692
MyRoom,2017-10-09 20:37:00,22.9375,5.506458424187983,1.3581732526745396,1.3548659006093775,0.14256001267455998,0.13975424859373686
MyRoom,2017-10-09 20:38:00,23.0,5.4202032704250245,2.3781197933367366,2.375269810787683,0.15641297728663217,0.19764235376052366
MyRoom,2017-10-09 20:39:00,22.9375,5.333948116662066,3.3980663339989334,3.3956737209659886,0.17026594189870436,0.1530931089239486
MyRoom,2017-10-09 20:40:00,23.0,5.247692962899108,3.8716129159704353,3.868869785500678,0.18105544704041054,0.22534695471649932
MyRoom,2017-10-09 20:41:00,22.9375,5.1614378091361495,3.914580114782064,3.9207930745773996,0.17902036171769053,0.2165063509461096
MyRoom,2017-10-09 20:42:00,22.9375,5.07518265537319,4.156852028962014,4.160966516896062,0.18420101760084742,0.22534695471649932
MyRoom,2017-10-09 20:43:00,23.0625,4.988927501610232,4.070532010725637,4.064681467305462,0.17864033158547227,0.22534695471649932
MyRoom,2017-10-09 20:44:00,22.875,4.902672347847274,5.354059004456607,5.355443027263377,0.2273400351705781,0.1767766952966375
MyRoom,2017-10-09 20:45:00,22.875,4.842779448941215,5.35343043299397,5.342151905034863,0.22487766774623766,0.2420614591379342
MyRoom,2017-10-09 20:46:00,22.9375,4.7828865500351565,6.072343371733838,6.075788862550494,0.26606474816214326,0.2165063509461097
MyRoom,2017-10-09 20:47:00,23.0,4.722993651129098,6.702439331892369,6.732575135974045,0.26893248893482397,0.2420614591379636
MyRoom,2017-10-09 20:48:00,22.9375,4.66310075222304,6.881889192386542,6.898188245024885,0.2802483917055357,0.19764235376052258
MyRoom,2017-10-09 20:49:00,22.8125,4.603207853316982,6.893943748744483,6.898245689694136,0.2834473535742126,0.2072890493972114
MyRoom,2017-10-09 20:50:00,22.9375,4.543314954410923,5.1710817666859885,5.177712541607384,0.27504699870974186,0.2072890493972114
MyRoom,2017-10-09 20:51:00,22.8125,4.686183891373215,5.7932563374739345,5.789710836209029,0.29823113395755046,0.19764235376052372
MyRoom,2017-10-09 20:52:00,23.0,4.829052828335506,5.777408024371627,5.772881396465688,0.31893020746623496,0.25
MyRoom,2017-10-09 20:53:00,22.875,4.971921765297798,5.741693110926587,5.755976130088477,0.3315291966596421,0.2165063509461097
MyRoom,2017-10-09 20:54:00,22.9375,5.114790702260089,5.3246870605493015,5.319854426515333,0.3325069519639034,0.23385358667337133
MyRoom,2017-10-09 20:55:00,22.875,5.25765963922238,5.264458117761148,5.255848453799995,0.3329920183415957,0.24206145913796356
MyRoom,2017-10-09 20:56:00,22.8125,5.400528576184672,4.696409573556906,4.705718122600734,0.31078354294516286,0.2651650429449553
MyRoom,2017-10-09 20:57:00,22.8125,5.382415639446856,4.668738781798248,4.660321649531762,0.31924983407544444,0.3247595264191645
MyRoom,2017-10-09 20:58:00,22.875,5.364302702709041,5.135935958944882,5.130567406086708,0.3504503122650092,0.28641098093474
MyRoom,2017-10-09 20:59:00,22.9375,5.346189765971225,4.294974319272148,4.305888921892811,0.3768690461322388,0.2795084971874737
MyRoom,2017-10-09 21:00:00,22.9375,5.328076829233409,4.830485201064374,4.826406988741679,0.42209021488504006,0.2724311839712921
MyRoom,2017-10-09 21:01:00,22.875,5.309963892495594,4.303100084167279,4.313074051152044,0.44708850900967606,0.29315098498896436
MyRoom,2017-10-09 21:02:00,22.875,5.291850955757778,5.419343759856618,5.414598978516778,0.5141735711247215,0.2724311839712921
MyRoom,2017-10-09 21:03:00,22.75,4.660529514687754,14.192908281410158,14.213933393026181,0.7132839821402261,0.3423265984407288
MyRoom,2017-10-09 21:04:00,22.8125,4.02920807361773,16.782338380912968,16.79249751847849,0.7060036314305975,0.3590351654086268
MyRoom,2017-10-09 21:05:00,22.75,3.397886632547706,16.72516292359551,16.739763328440297,0.7184059949142342,0.375
MyRoom,2017-10-09 21:06:00,22.8125,2.766565191477682,18.494417678929263,18.48840516414232,0.6443087718389369,0.39528470752104744
MyRoom,2017-10-09 21:07:00,22.6875,2.1352437504076582,17.826558242412716,17.858614093546684,0.5688794358740268,0.4330127018922193
MyRoom,2017-10-09 21:08:00,22.4375,1.503922309337634,18.07415815224474,18.07668183163684,0.5136556447709866,0.46770717334673506
MyRoom,2017-10-09 21:09:00,22.875,1.8517561350436638,18.255502377398244,18.250545409398413,0.4632070880490921,0.48412291827591974
MyRoom,2017-10-09 21:10:00,22.75,2.1995899607496936,21.47575320234416,21.540967565602905,0.5010225797651182,0.4759858191164961
MyRoom,2017-10-09 21:11:00,22.5625,2.547423786455724,20.8930944125348,20.883393414633673,0.4743253042964668,0.45069390943299864
MyRoom,2017-10-09 21:12:00,22.625,2.8952576121617537,24.760567618531237,24.73284835216685,0.4812346590682113,0.45069390943299864
