deviceid,TemperatureKmeansScore,TemperatureFFTScore,TemperatureSpectralScore,TemperatureGeneralizedScore,timestamp,Temperature
04714B60011A,0.646841063235293,33.636196207672505,4.1329925933442855,2036.1397387504596,01/20/2020 05:07,52.1,
04714B60011A,0.7830960130918294,329.4876416318172,4.352287285740919,24349.68912934945,01/20/2020 05:11,,
04714B60011A,0.9139089728418021,35.86780836951019,4.387990713521164,8073.28386240655,01/20/2020 05:12,52.3,
04714B60011A,1.0149513752852881,391.1885654026369,4.407526780310096,97455.59595514384,01/20/2020 05:16,,
04714B60011A,0.9998960682924631,41.4137057116932,4.411945559895082,18772.016232121066,01/20/2020 05:17,52,
04714B60011A,0.953522040556366,460.00356866448817,4.393836934032027,228100.618193496,01/20/2020 05:21,,
04714B60011A,0.8153613450095994,81.77321227944867,4.27729282628134,2209.683438635571,01/20/2020 05:22,52.1,
04714B60011A,0.7060459003880524,920.9401704538551,4.0659525247751755,26952.095796234695,01/20/2020 05:26,,
04714B60011A,0.6561672036055525,189.61159198404954,3.9108313782314634,18628.063311247766,01/20/2020 05:27,52.4,
04714B60011A,0.8343815478952228,2250.467375459026,3.5443768630744854,229255.86974187492,01/20/2020 05:31,,
04714B60011A,1.0500965282589823,82.88818993859968,2.6333768933600603,31832.903926081075,01/20/2020 05:32,52.8,
04714B60011A,1.105216906516112,840.4424605899179,1.3981223005789598,394276.209368972,01/20/2020 05:36,,
04714B60011A,1.1734961444725358,274.8716367969675,0.6641957032017389,368.8519818874428,01/20/2020 05:37,52.8,
04714B60011A,1.236710403689161,3249.6398930546816,0.5594401348395257,4417.268637355065,01/20/2020 05:41,,
04714B60011A,1.2464017133251846,189.98188999569092,0.9369820833803533,126626.29968432405,01/20/2020 05:42,52,
04714B60011A,1.2793581904697098,2205.565546985925,1.900816985593849,1589596.7568455164,01/20/2020 05:46,,
04714B60011A,1.3104970835896539,313.60896635575176,2.991195124632526,48918.60662086871,01/20/2020 05:47,52.5,
04714B60011A,1.1963128879050817,3759.0443131738944,3.6172592445618794,618007.8882482984,01/20/2020 05:51,,
04714B60011A,1.0860372228870732,140.53111801290538,3.9044564105829833,17509.863810107243,01/20/2020 05:52,52.8,
04714B60011A,0.9694385602281895,1572.4840812127186,3.9676905454935394,222549.7675002772,01/20/2020 05:56,,
04714B60011A,0.8758215858731891,89.10970743398416,3.8644033148317933,17080.184772116565,01/20/2020 05:57,53.1,
04714B60011A,0.7981404720539681,964.0065694516817,3.7291871537663157,218569.69789268053,01/20/2020 06:01,,
04714B60011A,0.7152060206275173,29.385894146022288,3.5083871842559935,7523.845132941452,01/20/2020 06:02,53.3,
04714B60011A,0.835042586833444,266.73271054438095,3.37555700079169,96885.66541751163,01/20/2020 06:06,,
04714B60011A,0.9466017360747279,43.99453683177454,3.3688787169200904,8015.800448892356,01/20/2020 06:07,53.1,
04714B60011A,0.961940522909782,509.1318650264123,3.6021036095535,103986.2688780022,01/20/2020 06:11,,
04714B60011A,0.8207703024310374,27.235571223110004,3.862860383911559,2241.815504072681,01/20/2020 06:12,53,
04714B60011A,0.6610028498594452,281.31130365728137,3.733485712479398,29222.832401660828,01/20/2020 06:16,,
04714B60011A,0.5568127971127542,135.06653016378462,3.5118792471282205,7681.9918962471675,01/20/2020 06:17,53.2,
04714B60011A,0.5823217604269969,1683.002382275691,3.408299407675723,100995.58581528986,01/20/2020 06:21,,
04714B60011A,0.7171829069908849,132.1200707422211,3.451057534042297,30035.250995947255,01/20/2020 06:22,53.6,
04714B60011A,0.9383191679313436,1631.2560726189852,3.4077481990339966,397848.21551568486,01/20/2020 06:26,,
04714B60011A,1.0938378408839524,81.46896953088931,3.2751095797782583,7340.606959708004,01/20/2020 06:27,53.8,
04714B60011A,0.8584626842728936,978.9166394075937,3.0439301266137906,97408.40339463958,01/20/2020 06:31,,
04714B60011A,0.6418158909625256,58.5325574635641,2.435015673841998,16508.269808630994,01/20/2020 06:32,54.1,
04714B60011A,0.6231789895869818,689.4779180864612,2.0763408849714144,221692.02388371367,01/20/2020 06:36,,
04714B60011A,0.7200908219468667,24.553922881704903,2.986681758536717,69.47601738261508,01/20/2020 06:37,54.1,
04714B60011A,0.8235141753901964,210.22110327304043,2.9196425021629384,810.4664226200878,01/20/2020 06:41,,
04714B60011A,0.8491907115353036,82.50506264232803,2.469466708466637,1952.1176952451005,01/20/2020 06:42,54.2,
04714B60011A,0.9407550362593905,1028.4323881378432,2.1163364968752223,26499.46221704154,01/20/2020 06:46,,
04714B60011A,0.8687110320163612,74.32858454726595,1.9858457645083192,45713.658486322165,01/20/2020 06:47,53.7,
04714B60011A,0.8143283855981072,907.14809609906,2.2450531900876536,627154.1715083767,01/20/2020 06:51,,
04714B60011A,0.7687222073536946,194.00565902608363,2.627204644073026,28595.723521386793,01/20/2020 06:52,54.1,
04714B60011A,0.7615064116198682,2545.608263795735,2.8256208352055374,395021.67386717733,01/20/2020 06:56,,
04714B60011A,0.7839610737899029,94.63908195665442,2.76086654549763,17043.410845072314,01/20/2020 06:57,54.4,
04714B60011A,0.7793923637299972,1168.8658421334303,2.3138460126682125,237070.58454500465,01/20/2020 07:01,,
04714B60011A,0.817420874270116,48.65125081737722,2.235524089130753,7444.079783275516,01/20/2020 07:02,54.6,
04714B60011A,0.9644158320493339,526.8808689268899,2.577761549832985,99742.75585129412,01/20/2020 07:06,,
