"ID","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC","SPEED","TEMPERATURE","HEAD","DEVICE_ID","PUMP_MODE","FLOW","WARN","KW_HOUR","VOLTAGE","ALARM","POWER","CURRENT","TIMESTAMP","VIBRATIONS_XAXIS","ACCEL_SPEED","VIBRATIONS_YAXIS","ACCEL_POWER","RMS_X","RMS_Z","VIBRATIONS_ZAXIS","RMS_Y","VERSION","RUN_QTY","TAG_NUMBER","DESIGN_HEAD","PERF_OPTION","DESIGN_FLOW","PTS","RATED_CURRENT","RATED_SPEED","HARDWARE_VER","PTS_COUNT","SERIAL_NUMBER","FIRMWARE_VER","REATED_POWER","RMSN_X","VIBRATION_N_YAXIS","VIBRATION_N_XAXIS","RMSN_Y","VIBRATION_N_ZAXIS","RMSN_Z","RMS_X_AVG","PWR","HW_VER","DQ","FW_VER"
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-12-01.46.29.578000,2020-12-12-01.46.29.000000,0.0,47.3,0.0,"04714B603408",a,0.0,8192.0,19844.484,0.0,0.0,0.0,0.0,"3157361621",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-12-01.48.31.450000,2020-12-12-01.48.31.000000,,,,"04714B603408",,,,,,,,,"3157361743","[-0.0391,-0.0693,-0.1035,0.1533,0.1113,0.1367,0.1699,-0.1387,-0.2412,-0.2354,0.0234,-0.0967,-0.0713,-0.04,-0.1133]","[""0"",""0"",""0"",""3061"",""3058""]","[-1.1504,-0.834,-1.0811,-1.1572,-1.1484,-1.0498,-0.9609,-1.1221,-1.1055,-1.1895,-1.0771,-1.0605,-0.8896,-0.9287,-1.0781]","[""0.000000"",""0.000000"",""0.000000"",""4.723200"",""4.728400""]","[""0.065311"",""0.063521"",""0.059325"",""0.179854"",""0.150762""]","[""0.048890"",""0.048998"",""0.053480"",""0.111976"",""0.140056""]","[0.125,0.0723,0.0107,-0.0459,0.2207,-0.0039,-0.0742,-0.1162,0.0176,0.3711,0.2002,-0.0889,-0.3145,-0.1445,0.0156]","[""1.043800"",""1.045255"",""1.045738"",""1.047019"",""1.047529""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-12-01.51.31.326000,2020-12-12-01.51.31.000000,2858.0,47.7,84.76,"04714B603408",a,129.64,8192.0,19844.484,320.0,0.0,3.793,7.61,"3157361923",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-17.48.23.954000,2020-12-11-17.48.23.000000,,,,"04714B603408",,,,,,,,,"3157332936","[0.1582,-0.0557,0.21,0.1328,0.1885,-0.1885,-0.2793,-0.0752,-0.1523,0.0576,0.0381,0.1328,0.1162,0.043,-0.1074]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-0.9941,-1.1162,-1.0088,-1.002,-1.1201,-1.0352,-1.043,-1.0537,-1.0635,-1.0967,-1.1553,-1.0205,-1.0088,-1.1094,-1.0059]","[""3.194600"",""3.198400"",""3.199200"",""3.196800"",""3.194800""]","[""0.130195"",""0.119976"",""0.132264"",""0.124292"",""0.123811""]","[""0.111721"",""0.102758"",""0.112718"",""0.109468"",""0.108317""]","[-0.0078,0.1123,0.1738,-0.1094,-0.0205,0.043,-0.0078,0.0566,-0.1338,0.1787,0.1719,-0.0215,0.0225,-0.1943,-0.0664]","[""1.045528"",""1.045131"",""1.046320"",""1.044680"",""1.047259""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-17.48.23.954000,2020-12-11-17.48.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1261076,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-17.50.22.149000,2020-12-11-17.50.22.000000,2646.0,49.6,70.49,"04714B603408",a,127.175,8192.0,19819.445,283.0,0.0,3.191,7.12,"3157333054",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-17.53.23.980000,2020-12-11-17.53.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1264966,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-17.55.22.244000,2020-12-11-17.55.22.000000,2646.0,49.1,70.978,"04714B603408",a,125.9,8192.0,19819.445,283.0,0.0,3.174,7.05,"3157333354",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-17.53.23.978000,2020-12-11-17.53.23.000000,,,,"04714B603408",,,,,,,,,"3157333236","[-0.0293,0.0127,-0.1025,-0.1064,-0.0039,0.0889,-0.1104,-0.0088,-0.0449,0.042,0.1104,0.0459,-0.125,-0.0127,-0.1006]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-0.9121,-1.0352,-1.0742,-0.8945,-0.9922,-1.1582,-1.1084,-1.1455,-1.0889,-0.9258,-0.9902,-0.9502,-0.8848,-1.0371,-1.123]","[""3.195800"",""3.193600"",""3.183400"",""3.183400"",""3.174800""]","[""0.128354"",""0.124179"",""0.131680"",""0.126044"",""0.122226""]","[""0.112149"",""0.113939"",""0.117578"",""0.102197"",""0.103875""]","[-0.0811,-0.1006,0.0127,-0.1006,-0.0459,0.1523,0.0967,0.0752,-0.0615,-0.1299,-0.0283,-0.0303,-0.1699,-0.0605,0.0713]","[""1.045894"",""1.046174"",""1.046520"",""1.045457"",""1.045053""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5e21c2cc5ae54a000841e190",accel,json,2020-12-11-17.58.23.829000,2020-12-11-17.58.23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1174126,,,0.0,
,pump_de_gen5,"04714B6036B1","5df887b2c5262d001d6735f2",accel,json,2020-12-11-17.58.23.829000,2020-12-11-17.58.23.000000,,,,"04714B603408",,,,,,,,,"3157333536","[-0.0459,-0.0645,0.0186,-0.0137,0.1377,0.0273,-0.1406,-0.207,-0.0918,-0.1768,-0.1426,0.0781,0.0371,0.0723,0.0195]","[""2646"",""2646"",""2646"",""2646"",""2646""]","[-0.9775,-1.0879,-1.1328,-1.0186,-0.9736,-1.0615,-0.9941,-0.9502,-1.1104,-1.1172,-1.0342,-0.9521,-0.9541,-0.9932,-0.9189]","[""3.178000"",""3.170000"",""3.168200"",""3.171000"",""3.166600""]","[""0.123602"",""0.116357"",""0.117201"",""0.118161"",""0.111742""]","[""0.106417"",""0.096330"",""0.107870"",""0.096975"",""0.096638""]","[0.0244,0.0576,0.2695,-0.1143,-0.0654,0.0059,0.0098,-0.084,-0.0059,0.167,-0.123,-0.043,0.0391,-0.0527,-0.042]","[""1.044697"",""1.046097"",""1.046625"",""1.045681"",""1.046476""]",2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
,pump_de_gen5,"04714B6036B1","5df8878de46fea001e0f82cc",data,json,2020-12-11-18.00.22.323000,2020-12-11-18.00.22.000000,2646.0,49.2,71.023,"04714B603408",a,125.781,8192.0,19819.445,283.0,0.0,3.172,7.07,"3157333654",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
