"FLOATVALUE","DEVICEID","RCV_TIMESTAMP_UTC"
1.2999999523162842,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-01-00.21.10.031000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-01-00.21.10.031000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.27.20.505000
-0.49997997283935547,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.27.20.505000
2.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.29.03.635000
1.2999999523162842,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.29.03.635000
73.5999984741211,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.42.22.217000
4045.877197265625,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.42.22.222000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.43.28.115000
0.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-01.43.28.115000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.11.47.268000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.11.47.268000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.15.52.869000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.15.52.869000
400.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.30.13.969000
200.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.30.13.969000
8.348881721496582,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.31.37.815000
98.8314208984375,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-02.31.37.815000
3.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.30.09.054000
0.25,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.30.09.054000
362.2228088378906,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.37.18.710000
368.0243835449219,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.37.18.710000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.48.26.785000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-03.48.26.785000
9.213032722473145,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.01.30.012000
1.5738517045974731,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.01.30.047000
45.481998443603516,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.17.05.792000
44.83399963378906,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.17.05.792000
224.28138732910156,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.42.51.949000
4070.6171875,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-04.42.51.993000
129.2494354248047,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.05.54.406000
124.7073974609375,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.05.54.406000
502.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.07.37.761000
470.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.07.37.761000
400.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.25.55.388000
1.5,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.25.55.388000
757.0778198242188,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.44.36.441000
776.9712524414062,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.44.36.441000
16.100000381469727,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.45.54.221000
23.899999618530273,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-05.45.54.221000
91.2599868774414,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-06.36.37.780000
112.2010269165039,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-06.36.37.780000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-06.45.53.819000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-06.45.53.819000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.01.10.017000
0.10000000149011612,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.01.10.017000
0.0,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.08.26.750000
0.25,"56851666-8346-32f0-bd8b-d77d82f63028",2021-05-22-07.08.26.750000
