deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralZscore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0036,2.5775764039947515,1.8313179362069854,8.486128973252544,0.3709669996550031,310.7643882649062,0.02908486480816811,25,06/01/2020 02:04,
CakebreadId_0036,2.5277797301572877,1.6826943425585594,6.423198543697991,0.3720566879592439,349.52616528300905,0.021273388976945834,27.10000038146973,06/01/2020 02:17,
CakebreadId_0036,8.54868625627009,1.5408861165329009,6.139070054547579,0.3731463762634847,388.2879423011119,0.02120488529792257,24.5,06/01/2020 02:34,
CakebreadId_0036,7.413177714726839,1.9810657027410206,6.594188944377728,0.3668954733154111,327.360344894357,0.02250018488738285,23.79999923706055,06/01/2020 03:02,
CakebreadId_0036,4.210435241906389,1.714101987961838,6.00841416062221,0.36064457036733755,266.43274748760206,0.021285973857251297,26.899999618530273,06/01/2020 03:04,
CakebreadId_0036,5.9382021333047526,2.269722543603679,8.371862360775285,0.35439366741926404,205.50515008084716,0.027527973375048018,26,06/01/2020 03:27,
CakebreadId_0036,11.419451692598905,2.524296922496005,9.29675817657149,0.34814276447119047,144.57755267409223,0.03126863016628401,23.60000038146973,06/01/2020 03:31,
CakebreadId_0036,9.789464852317584,1.7367993312920027,6.961033022752537,0.3418918615231169,83.6499552673373,0.023136877014979258,26.70000076293945,06/01/2020 03:37,
CakebreadId_0036,5.48085657972894,1.4834056642638953,2.578388604163341,0.33564095857504334,22.722357860582406,0.008471070760074554,24.20000076293945,06/01/2020 03:48,
CakebreadId_0036,8.792476715779724,1.7633098109698886,5.471826899413714,0.3302085258365719,19.098562898982163,0.018875212384542914,23.399999618530273,06/01/2020 04:26,
CakebreadId_0036,13.589596844812071,1.584982655845691,6.353600938891881,0.3247760930981005,15.474767937381898,0.02103661871214151,26.399999618530273,06/01/2020 04:28,
CakebreadId_0036,4.383034018176113,1.4816814853112814,4.538629285551473,0.31934366035962913,11.850972975781636,0.015298391347217732,25.5,06/01/2020 04:51,
CakebreadId_0036,4.980406591912523,1.6465975839839637,5.751180731241291,0.3139112276211577,8.227178014181371,0.019251642767779874,23.20000076293945,06/01/2020 04:54,
CakebreadId_0036,6.010842312873116,1.6259900876545592,5.4928086912253855,0.30847879488268626,4.603383052581108,0.018816238423258427,25.399999618530273,06/01/2020 04:57,
CakebreadId_0036,8.364899021262666,1.9141422006988928,6.208387136474936,0.3030463621442149,0.9795880909808439,0.02245363032856046,24.899999618530273,06/01/2020 05:06,
CakebreadId_0036,8.956292423846284,1.856713466604062,6.964101329310659,0.3076668648185116,3.745843424721104,0.02479814867388324,22.899999618530273,06/01/2020 05:13,
CakebreadId_0036,4.493821397552392,1.609189887621124,4.2788671390986295,0.31228736749280833,6.512098758461362,0.014456752099658817,23.70000076293945,06/01/2020 05:50,
CakebreadId_0036,8.943833181181304,1.5243671594524448,7.518835505474486,0.3169078701671051,9.27835409220162,0.02554972183549913,26.20000076293945,06/01/2020 05:53,
CakebreadId_0036,6.094647723408823,1.2861789811713145,3.980430644464919,0.3215283728414018,12.044609425941879,0.013221899783133786,24.899999618530273,06/01/2020 06:15,
CakebreadId_0036,10.288629564723067,1.7849520849660867,6.979733307762203,0.3261488755156985,14.810864759682136,0.023012777327528842,22.79999923706055,06/01/2020 06:20,
CakebreadId_0036,10.734786268138658,2.273654545510648,8.691724071308048,0.33076937818999524,17.577120093422394,0.028795445594104355,22.5,06/01/2020 07:00,
CakebreadId_0036,9.660862219974058,2.1125615623233935,6.34739934115562,0.33345375425992885,21.426021847633162,0.021218613322827748,26,06/01/2020 07:02,
CakebreadId_0036,8.909427200858518,1.9546542266411766,5.366837146605079,0.3361381303298624,25.274923601843934,0.017916561400501605,24.399999618530273,06/01/2020 07:24,
CakebreadId_0036,6.976294950567125,1.8411607679267221,4.2758728307888525,0.338822506399796,29.123825356054702,0.014060096001586584,22.5,06/01/2020 07:35,
CakebreadId_0036,11.272100659416079,1.7937393749726185,6.062211488872197,0.3415068824697296,32.972727110265474,0.0199946932925366,23,06/01/2020 08:12,
CakebreadId_0036,47.409196140990616,3.1128244925556894,25.52168475948549,0.34419125853966315,36.82162886447624,0.08628223557519361,26.10000038146973,06/01/2020 08:14,
CakebreadId_0036,85.56828925042456,5.429021781014454,20.55665858782621,0.34687563460959675,40.67053061868701,0.06921249458233236,23.20000076293945,06/01/2020 08:50,
CakebreadId_0036,85.14537968292603,6.854450542144621,23.10613449207987,0.3449756219726995,37.64685344956737,0.07828930621144467,26.70000076293945,06/01/2020 08:52,
CakebreadId_0036,183.19609051437536,8.473762900598956,56.601449568809194,0.3430756093358022,34.62317628044772,0.19702501442288867,24.60000038146973,06/01/2020 09:01,
CakebreadId_0036,109.44591894085465,6.855648677546317,42.25530923064997,0.34117559669890496,31.599499111328086,0.14799259895430777,24.899999618530273,06/01/2020 09:07,
CakebreadId_0036,57.7447168416159,3.818209170625533,21.119267105874002,0.33927558406200775,28.575821942208442,0.07387358852842006,28.399999618530273,06/01/2020 09:08,
CakebreadId_0036,39.74680733016339,2.4624945389933526,17.05223693531047,0.3373755714251105,25.5521447730888,0.057193965920994655,25.79999923706055,06/01/2020 09:10,
CakebreadId_0036,10.7751955235967,1.5367464502497998,5.6308172873004345,0.3354755587882132,22.52846760396916,0.018857280229402966,28.79999923706055,06/01/2020 09:38,
CakebreadId_0036,13.087957327287592,1.7530329827419364,8.157777826384207,0.3078299902897648,21.642821690169836,0.02711622754340817,28.20000076293945,06/01/2020 09:50,
CakebreadId_0036,19.923518215818035,2.237540451727563,9.2180966778361,0.2801844217913164,20.757175776370513,0.030850860303670395,30.5,06/01/2020 10:31,
CakebreadId_0036,20.058618194758886,2.164558717795016,8.426303512451383,0.252538853292868,19.871529862571187,0.028861696846965823,28.79999923706055,06/01/2020 10:50,
CakebreadId_0036,13.735716191868487,1.7668384883167525,4.7290506454743575,0.2248932847944196,18.985883948771864,0.016406771843937115,27.899999618530273,06/01/2020 11:23,
CakebreadId_0036,10.686061226044153,1.5448630031241122,3.1422611919980543,0.19724771629597124,18.10023803497254,0.010712497937414505,30.10000038146973,06/01/2020 11:31,
CakebreadId_0036,13.646829907983328,1.4058366612839373,3.656485690472353,0.16960214779752283,17.21459212117322,0.012404676657703211,29.60000038146973,06/01/2020 11:55,
CakebreadId_0036,39.7852587524573,2.7252055377389297,8.865738283956203,0.15133355535744344,17.803435418937372,0.029431248667713676,29.79999923706055,06/01/2020 12:55,
CakebreadId_0036,84.65884133775435,3.500612020335947,22.013874912197988,0.13306496291736408,18.392278716701526,0.07423661486349777,30.29999923706055,06/01/2020 13:49,
CakebreadId_0036,56.32911378084462,3.2072295688063113,13.860256542253934,0.11479637047728469,18.98112201446568,0.0474848851055673,29.899999618530273,06/01/2020 14:15,
CakebreadId_0036,15.627388949998384,1.7384160324364115,4.948134913147071,0.0965277780372053,19.569965312229833,0.016548098721850247,30.899999618530273,06/01/2020 14:38,
CakebreadId_0036,74.75322686338463,3.1996667318338887,16.204620321760846,0.07825918559712591,20.158808609993986,0.05408788260626465,28.899999618530273,06/01/2020 22:37,
CakebreadId_0036,74.60885362056325,3.48173340088509,15.753279882078715,0.05999059315704654,20.74765190775814,0.05227553665136658,28.399999618530273,06/01/2020 22:55,
CakebreadId_0036,28.756271488973596,2.1605653041834727,8.411294166134754,0.1498151556237481,21.503602466499586,0.028197850280501247,28,06/01/2020 23:25,
