"TAGID","INTVALUE","FLOATVALUE","STRINGVALUE","DATEVALUE","EVT_NAME","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC"
639226,0,9.458340644836426,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-00.04.47.568000,2021-05-01-00.04.47.568000
639226,0,8.759601593017578,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-01.41.09.568000,2021-05-01-01.41.09.568000
639226,0,8.910778999328613,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-01.42.41.569000,2021-05-01-01.42.41.569000
639226,0,9.446996688842773,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-01.01.26.569000,2021-05-01-01.01.26.569000
639226,0,9.442545890808105,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-01.45.54.567000,2021-05-01-01.45.54.567000
639226,0,8.765222549438477,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-02.39.00.569000,2021-05-01-02.39.00.569000
639226,0,8.81728458404541,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-02.42.29.568000,2021-05-01-02.42.29.568000
639226,0,9.510860443115234,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-07.18.27.794000,2021-05-01-07.18.27.794000
639226,0,9.204919815063477,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-01-00.21.04.566000,2021-05-01-00.21.04.566000
639226,0,9.332189559936523,null,null,eu,TagData_Type,"81bad898-7be1-37fb-ae0c-036d49cdcd1f",null,device,JSON,2021-05-03-21.20.38.985000,2021-05-03-21.20.38.985000
