deviceid,floatvalue,timestamp
CakebreadId_0128,37,01/29/2020 01:49,
CakebreadId_0128,38,01/29/2020 01:50,
CakebreadId_0128,37,01/29/2020 01:50,
CakebreadId_0128,33,01/29/2020 01:50,
CakebreadId_0128,39,01/29/2020 01:50,
CakebreadId_0128,34,01/29/2020 01:51,
CakebreadId_0128,26,01/29/2020 01:52,
CakebreadId_0128,34,01/29/2020 01:52,
CakebreadId_0128,39,01/29/2020 01:52,
CakebreadId_0128,38,01/29/2020 01:52,
CakebreadId_0128,37,01/29/2020 01:53,
CakebreadId_0128,35,01/29/2020 01:54,
CakebreadId_0128,39,01/29/2020 01:54,
CakebreadId_0128,38,01/29/2020 01:54,
CakebreadId_0128,37,01/29/2020 01:55,
CakebreadId_0128,33,01/29/2020 01:56,
CakebreadId_0128,38,01/29/2020 01:56,
CakebreadId_0128,37,01/29/2020 01:56,
CakebreadId_0128,38,01/29/2020 01:57,
CakebreadId_0128,35,01/29/2020 01:57,
CakebreadId_0128,27,01/29/2020 01:57,
CakebreadId_0128,37,01/29/2020 01:57,
CakebreadId_0128,38,01/29/2020 01:58,
CakebreadId_0128,37,01/29/2020 01:58,
CakebreadId_0128,32,01/29/2020 01:59,
CakebreadId_0128,39,01/29/2020 01:59,
CakebreadId_0128,37,01/29/2020 01:59,
CakebreadId_0128,34,01/29/2020 02:01,
CakebreadId_0128,39,01/29/2020 02:01,
CakebreadId_0128,37,01/29/2020 02:01,
CakebreadId_0128,38,01/29/2020 02:02,
CakebreadId_0128,31,01/29/2020 02:03,
CakebreadId_0128,36,01/29/2020 02:03,
CakebreadId_0128,38,01/29/2020 02:03,
CakebreadId_0128,37,01/29/2020 02:03,
CakebreadId_0128,38,01/29/2020 02:04,
CakebreadId_0128,37,01/29/2020 02:04,
CakebreadId_0128,38,01/29/2020 02:04,
CakebreadId_0128,33,01/29/2020 02:04,
CakebreadId_0128,39,01/29/2020 02:05,
CakebreadId_0128,37,01/29/2020 02:05,
CakebreadId_0128,38,01/29/2020 02:05,
CakebreadId_0128,37,01/29/2020 02:05,
CakebreadId_0128,32,01/29/2020 02:06,
CakebreadId_0128,39,01/29/2020 02:06,
CakebreadId_0128,37,01/29/2020 02:07,
CakebreadId_0128,38,01/29/2020 02:07,
CakebreadId_0128,37,01/29/2020 02:07,
CakebreadId_0128,38,01/29/2020 02:07,
CakebreadId_0128,36,01/29/2020 02:08,
CakebreadId_0128,31,01/29/2020 02:08,
CakebreadId_0128,38,01/29/2020 02:08,
CakebreadId_0128,36,01/29/2020 02:10,
CakebreadId_0128,31,01/29/2020 02:10,
CakebreadId_0128,37,01/29/2020 02:10,
CakebreadId_0128,38,01/29/2020 02:10,
CakebreadId_0128,37,01/29/2020 02:10,
CakebreadId_0128,35,01/29/2020 02:11,
CakebreadId_0128,33,01/29/2020 02:12,
