"TAGID","INTVALUE","FLOATVALUE","STRINGVALUE","DATEVALUE","EVT_NAME","DEVICETYPE","DEVICEID","LOGICALINTERFACE_ID","EVENTTYPE","FORMAT","RCV_TIMESTAMP_UTC","UPDATED_UTC"
672937,0,9.065675735473633,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.40.21.550000,2021-05-01-01.40.21.550000
672937,0,8.560445785522461,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.52.39.553000,2021-05-01-00.52.39.553000
672937,0,8.539508819580078,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.53.50.555000,2021-05-01-00.53.50.555000
672937,0,8.532885551452637,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.54.12.553000,2021-05-01-00.54.12.553000
672937,0,8.90109920501709,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.04.55.554000,2021-05-01-00.04.55.554000
672937,0,8.927092552185059,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.04.04.551000,2021-05-01-00.04.04.551000
672937,0,8.919543266296387,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.04.08.554000,2021-05-01-00.04.08.554000
672937,0,8.811263084411621,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.08.29.552000,2021-05-01-00.08.29.552000
672937,0,8.77686595916748,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-01.16.14.553000,2021-05-01-01.16.14.553000
672937,0,8.77387523651123,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.09.51.556000,2021-05-01-00.09.51.556000
672937,0,8.73954963684082,null,null,eu,TagData_Type,"8eefd532-57be-3742-ae59-5fa11597c2fd",null,device,JSON,2021-05-01-00.10.50.552000,2021-05-01-00.10.50.552000
