groupdId,edgeNodeId,timestamp,seq,metricName,metricTS,dataType,Val,timestamp_date,metricTS_date,SDEV,DELTA,$O-Anomaly,$O-AnomalyIndex,$O-PeerGroup,$O-Field-1,$O-FieldImpact-1,$O-Field-2,$O-FieldImpact-2,$O-Field-3,$O-FieldImpact-3
"Cakebread","RuthNorth",1561745641714,139,"TT_ProdRoom",1561745618902,"Float",67.557640,2019-06-28 18:14:01,2019-06-28 18:13:38,0.004992,0.011620,"F",0.675277,2,"SDEV",0.439285,"DELTA",0.438508,"Val",0.122207
"Cakebread","RuthNorth",1561745671734,140,"TT_ProdRoom",1561745653914,"Float",67.580140,2019-06-28 18:14:31,2019-06-28 18:14:13,0.002709,0.006510,"F",0.675066,2,"SDEV",0.440369,"DELTA",0.439816,"Val",0.119815
"Cakebread","RuthNorth",1561745641714,139,"TT_ProdRoom",1561745623903,"Float",67.560970,2019-06-28 18:14:01,2019-06-28 18:13:43,0.005038,0.011510,"F",0.675035,2,"SDEV",0.439426,"DELTA",0.438687,"Val",0.121887
"Cakebread","RuthNorth",1561745671734,140,"TT_ProdRoom",1561745648914,"Float",67.576980,2019-06-28 18:14:31,2019-06-28 18:14:08,0.003474,0.007850,"F",0.674836,2,"SDEV",0.440178,"DELTA",0.439629,"Val",0.120193
"Cakebread","RuthNorth",1561748204639,224,"TT_ProdRoom",1561748179637,"Float",69.160614,2019-06-28 18:56:44,2019-06-28 18:56:19,0.015152,0.036024,"F",0.674568,2,"SDEV",0.438188,"DELTA",0.437558,"Val",0.124254
"Cakebread","RuthNorth",1561745701749,141,"TT_ProdRoom",1561745693926,"Float",67.603400,2019-06-28 18:15:01,2019-06-28 18:14:53,0.001347,0.003160,"F",0.674500,2,"SDEV",0.441408,"DELTA",0.441118,"Val",0.117474
"Cakebread","RuthNorth",1561745641714,139,"TT_ProdRoom",1561745633907,"Float",67.569130,2019-06-28 18:14:01,2019-06-28 18:13:53,0.004829,0.011490,"F",0.674492,2,"SDEV",0.439857,"DELTA",0.439044,"Val",0.121098
"Cakebread","RuthNorth",1561745701749,141,"TT_ProdRoom",1561745698928,"Float",67.604930,2019-06-28 18:15:01,2019-06-28 18:14:58,0.001586,0.003670,"F",0.674210,2,"SDEV",0.441475,"DELTA",0.441158,"Val",0.117367
"Cakebread","RuthNorth",1561745701749,141,"TT_ProdRoom",1561745688924,"Float",67.601260,2019-06-28 18:15:01,2019-06-28 18:14:48,0.002082,0.004810,"F",0.674079,2,"SDEV",0.441313,"DELTA",0.440918,"Val",0.117769
"Cakebread","RuthNorth",1561736422124,38,"TT_ProdRoom",1561736376109,"Float",62.343040,2019-06-28 15:40:22,2019-06-28 15:39:36,0.003074,0.006848,"F",0.673951,1,"Val",0.700054,"DELTA",0.174212,"SDEV",0.125734
"Cakebread","RuthNorth",1561745731763,142,"TT_ProdRoom",1561745703928,"Float",67.606010,2019-06-28 18:15:31,2019-06-28 18:15:03,0.002060,0.004750,"F",0.673766,2,"SDEV",0.441528,"DELTA",0.441139,"Val",0.117333
"Cakebread","RuthNorth",1561745641714,139,"TT_ProdRoom",1561745638908,"Float",67.573630,2019-06-28 18:14:01,2019-06-28 18:13:58,0.005939,0.012660,"F",0.673749,2,"SDEV",0.439953,"DELTA",0.439301,"Val",0.120746
"Cakebread","RuthNorth",1561745671734,140,"TT_ProdRoom",1561745643909,"Float",67.575874,2019-06-28 18:14:31,2019-06-28 18:14:03,0.005978,0.013554,"F",0.673468,2,"SDEV",0.440124,"DELTA",0.439321,"Val",0.120556
"Cakebread","RuthNorth",1561745731763,142,"TT_ProdRoom",1561745708930,"Float",67.608600,2019-06-28 18:15:31,2019-06-28 18:15:08,0.002190,0.005200,"F",0.673460,2,"SDEV",0.441666,"DELTA",0.441215,"Val",0.117119
